traitname,speciesname,sign,mean_low,mean_high,units,SD_low,SD_high,N_low,N_high,elev_low,elev_high,latitude,mass,alpine,mig-res,source
Onset,Zonotrichia_capensis,-,360,340,d,,,,,400,1975,26.85,20.4,1,mig,49
Season,Zonotrichia_capensis,-,80,51,d,,,,,400,1975,26.85,20.4,1,mig,49
Onset,Zonotrichia_capensis,+,,,unk,,,,,0,3600,16.5,20.4,1,mig,77
AdultBodySize,Zonotrichia_capensis,,23.35,26.6,g,,,,,2000,3000,16.5,20.4,1,mig,77
ClutchSize,Zonotrichia_capensis,-,2.69,2.53,kids,,,,,550,2593,26.93,20.4,1,mig,38
IncubationDuration,Zonotrichia_leucophrys,0,12.3,12.47,d,,,10,14,46,3475,38.97,27,1,mig,47
Onset,Zonotrichia_leucophrys,+,76,156,d,,,,,150,3000,37.64,27,1,mig,21
NestlingSize,Zonotrichia_leucophrys,0,2.4,2.7,unk,,,,,46,3475,38.97,27,1,mig,47
NAttempts,Zonotrichia_leucophrys,-,2,1,att,,,,,5,3000,38,27,1,mig,97
IncubationDuration,Zonotrichia_leucophrys,-,13,12.18,d,,,,,150,3000,37.64,27,1,mig,21
NestSuccess,Zonotrichia_leucophrys,+,0.34,0.47,prop,,,,,150,3000,37.64,27,1,mig,21
EggSize,Zonotrichia_leucophrys,+,3.02,3.07,g,0.216,0.13,24,27,1890,3475,41.33,27,1,mig,47
ClutchSize,Zonotrichia_leucophrys,+,3.15,3.93,kids,0.7,0.438,1062,143,150,3000,37.64,27,1,mig,21
AdultBodySize,Zonotrichia_leucophrys,+,74.2,75.7,mm,,,6,7,1890,3475,41.33,27,1,mig,47
